FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,IsActive,AgeAtStart
Uriah,Bridges,2019-09-20,,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,N/A - Active,N/A - Active,Production,Finance & Accounting,1969-07-10,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4,3427,2023-01-14,1,2,3,2023-07-15,Leadership Development,Internal,Failed,South Marisa,Taylor Rodriguez,2,606.11,True,50.0
Paula,Small,2023-02-11,,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,N/A - Active,N/A - Active,Production,Aerial,1965-08-30,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3,3428,2022-09-09,2,1,5,2022-09-12,Customer Service,External,Incomplete,Tammieville,Kelly Patterson Dds,4,673.02,True,57.0
Edward,Buck,2018-12-10,,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,N/A - Active,N/A - Active,Sales,General - Sga,1991-06-10,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4,3429,2023-05-27,1,2,1,2022-08-13,Leadership Development,External,Failed,East Roberthaven,Taylor Thomas,2,413.28,True,27.0
Michael,Riordan,2021-06-21,,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,N/A - Active,N/A - Active,Sales,Finance & Accounting,1998-04-04,ND,Clerk,Male,58782,Other,Single,Fully Meets,2,3430,2023-06-16,5,5,4,2022-12-15,Project Management,External,Completed,Garzatown,Holly Elliott,3,663.78,True,23.0
Jasmine,Onque,2019-06-29,,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,N/A - Active,N/A - Active,Sales,General - Con,1969-08-29,FL,Laborer,Female,33174,Other,Married,Fully Meets,3,3431,2022-11-25,2,5,3,2023-07-13,Technical Skills,External,Failed,Lake Meganville,Donald Martinez,5,399.03,True,49.0
Maruk,Fraval,2020-01-17,,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,N/A - Active,N/A - Active,Sales,Field Operations,1949-03-04,CT,Driver,Male,6050,Black,Married,Fully Meets,3,3432,2022-12-12,2,3,5,2023-04-18,Project Management,Internal,Passed,Kingchester,Holly Sloan,2,820.33,True,70.0
Latia,Costa,2022-04-06,2023-07-03,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,N/A - Active,N/A - Active,Sales,General - Eng,1942-01-07,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4,3433,2023-03-25,1,5,2,2022-08-06,Customer Service,External,Passed,Lancehaven,David Stewart,5,295.08,False,80.0
Sharlene,Terry,2020-11-06,2023-01-29,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,N/A - Active,N/A - Active,Sales,Engineers,1957-07-03,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2,3434,2023-04-21,1,4,2,2022-10-07,Leadership Development,Internal,Passed,Jeremyshire,Stephanie Garza,3,790.15,False,63.0
Jac,Mckinzie,2018-08-18,,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,N/A - Active,N/A - Active,Sales,Executive,1974-05-15,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3,3435,2022-09-12,4,3,3,2023-07-19,Customer Service,Internal,Passed,West Randall,John Brown,3,798.4,True,44.0
Joseph,Martins,2022-01-21,2023-06-29,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,N/A - Active,N/A - Active,Sales,Engineers,1949-11-11,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5,3436,2023-07-30,5,5,2,2023-04-09,Leadership Development,Internal,Failed,Nicolebury,Megan Wilson,5,192.61,False,72.0
Myriam,Givens,2023-08-04,,Area Sales Manager,Troy White,myriam.givens@bilearner.com,SVG,Active,Contract,Zone B,Temporary,N/A - Active,N/A - Active,Sales,Field Operations,1964-01-26,IN,Technician,Female,46204,Other,Single,Fully Meets,5,3437,2022-10-15,3,2,5,2022-10-20,Technical Skills,Internal,Failed,Jenniferhaven,Mrs. Valerie Brown,1,455.68,True,59.0
Dheepa,Nguyen,2018-08-10,2019-11-04,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,N/A - Active,N/A - Active,Sales,General - Con,1948-06-04,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,3438,2022-10-28,4,2,5,2022-10-05,Technical Skills,Internal,Failed,Nunezmouth,Sharon Flores Dds,2,208.17,False,70.0
Bartholemew,Khemmich,2022-05-25,2022-11-27,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,N/A - Active,N/A - Active,Sales,Splicing,1981-11-24,CO,Splicer,Male,80820,Other,Single,Fully Meets,3,3439,2022-10-30,1,2,5,2023-03-09,Technical Skills,External,Incomplete,Port Margaretview,Kimberly Garcia,1,421.07,False,40.0
Xana,Potts,2019-12-05,2023-02-17,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,N/A - Active,N/A - Active,Sales,Finance & Accounting,1951-06-11,KY,Controller,Female,40220,White,Divorced,Fully Meets,3,3440,2022-09-24,1,4,5,2023-05-29,Communication Skills,External,Failed,Nancyview,Christopher Underwood,1,649.03,False,68.0
Prater,Jeremy,2019-04-28,,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,N/A - Active,N/A - Active,Sales,General - Con,1989-11-21,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4,3441,2022-10-30,4,2,5,2023-01-08,Project Management,Internal,Passed,Carrollside,Robert Kane,4,450.2,True,29.0
Kaylah,Moon,2019-07-09,2022-06-16,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,N/A - Active,N/A - Active,IT/IS,Field Operations,1952-11-24,MA,Laborer,Male,2810,Black,Single,Exceeds,2,3442,2022-10-31,2,5,3,2023-03-06,Project Management,External,Failed,Port Davidshire,Victoria Berry,4,286.87,False,66.0
Kristen,Tate,2021-04-05,2023-05-12,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,N/A - Active,N/A - Active,IT/IS,Project Management - Con,1994-08-04,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,3443,2023-04-29,2,2,4,2023-02-18,Technical Skills,External,Failed,East Katie,Gary Thornton,3,402.13,False,26.0
Bobby,Rodgers,2021-11-28,2022-02-04,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,N/A - Active,N/A - Active,Sales,Engineers,1983-11-15,KY,Director,Male,44553,Other,Widowed,Fully Meets,3,3444,2022-12-14,1,2,4,2022-11-02,Technical Skills,External,Failed,Jacobburgh,William Willis,2,388.84,False,38.0
Reid,Park,2021-01-16,,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,N/A - Active,N/A - Active,Sales,Project Management - Con,1985-07-12,KY,Supervisor,Female,5360,Other,Married,Exceeds,4,3445,2023-07-05,4,5,2,2023-07-14,Project Management,External,Completed,Ryanmouth,Andre Wu,2,879.64,True,35.0
Hector,Dalton,2021-08-24,,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,N/A - Active,N/A - Active,Sales,Field Operations,1996-01-05,TX,Driller,Female,16325,White,Divorced,Exceeds,2,3446,2023-05-21,4,3,5,2022-12-11,Technical Skills,Internal,Failed,South John,Olivia Holland,5,701.13,True,25.0
Mariela,Schultz,2020-05-26,2023-06-18,Area Sales Manager,Michelle Evans Md,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Involuntary - Standard Separation,Sales,General - Con,1964-02-17,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3,3447,2023-08-05,5,1,4,2023-04-02,Customer Service,Internal,Incomplete,Kristenton,Kimberly Doyle,3,353.21,False,56.0
Angela,Molina,2019-10-01,2020-11-06,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,Retirement - Standard Separation,Sales,Engineers,1958-12-05,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,3448,2023-03-28,5,1,5,2023-05-16,Communication Skills,Internal,Completed,West Jamesview,Lindsay Williams,4,911.05,False,60.0
Gerald,Preston,2023-05-10,2023-05-27,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Involuntary - Standard Separation,Sales,General - Eng,1992-09-18,CO,Technician,Male,5168,Black,Single,Fully Meets,5,3449,2023-06-30,3,2,1,2022-10-02,Communication Skills,External,Completed,Josebury,Joseph Faulkner,3,242.21,False,30.0
Reilly,Moyer,2020-09-01,2022-12-04,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,N/A - Active,N/A - Active,Sales,Field Operations,1994-11-08,CO,Operator,Male,11765,Other,Single,Exceeds,2,3450,2023-01-18,4,3,5,2023-01-12,Technical Skills,Internal,Completed,South Benjaminfurt,Laura Davis,4,186.07,False,25.0
Carlee,French,2021-02-18,2022-11-11,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,N/A - Active,N/A - Active,Sales,General - Con,1968-01-15,CO,Technician,Male,71071,Other,Divorced,Exceeds,3,3451,2023-04-29,5,1,2,2023-03-22,Technical Skills,External,Completed,Duncanview,Betty Williams,1,921.97,False,53.0
Jaydon,Blackburn,2022-11-08,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,N/A - Active,N/A - Active,Sales,General - Con,1947-07-01,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2,3452,2023-01-19,5,5,2,2022-09-13,Customer Service,Internal,Failed,Lake Jonathan,Daniel Miller,1,691.04,True,75.0
Bridger,Carter,2022-10-13,,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,N/A - Active,N/A - Active,Sales,Fielders,1982-07-04,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4,3453,2022-09-17,5,5,3,2022-08-25,Customer Service,External,Completed,Port Jamesshire,Samantha Hodge,5,964.44,True,40.0
Leon,Beard,2022-09-11,,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,N/A - Active,N/A - Active,IT/IS,General - Con,1970-01-29,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,3454,2023-03-14,4,4,2,2023-02-07,Communication Skills,Internal,Passed,West Brandon,Jonathan Brady,3,184.9,True,52.0
Charity,Miranda,2021-06-29,2022-07-05,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,N/A - Active,N/A - Active,Sales,Project Management - Eng,1999-01-18,KY,Manager,Male,3763,Other,Widowed,Exceeds,4,3455,2022-12-08,2,1,1,2023-03-17,Project Management,External,Passed,Wadefurt,Timothy Moreno,1,220.41,False,22.0
Axel,Howe,2023-03-06,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,N/A - Active,N/A - Active,Sales,Field Operations,1946-09-25,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3,3456,2023-03-30,4,3,4,2023-06-08,Technical Skills,External,Passed,East Aaron,Morgan Wright,2,336.82,True,76.0
Milton,Wall,2020-09-25,,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,N/A - Active,N/A - Active,Sales,Engineers,1947-08-23,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3,3457,2023-04-21,5,1,4,2023-04-15,Customer Service,External,Completed,Williamsbury,Jeremy Garcia,4,485.73,True,73.0
Cory,Robinson,2022-04-28,2023-05-24,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Voluntary - Standard Separation,Sales,Field Operations,1996-12-08,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,3458,2023-02-14,2,5,5,2022-12-02,Communication Skills,Internal,Failed,North Deborahville,Joseph Ward,2,409.27,False,25.0
Saniya,Yu,2021-04-18,2022-06-21,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Retirement - Standard Separation,Sales,General - Con,1944-09-02,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2,3459,2022-10-26,4,4,3,2023-06-14,Communication Skills,Internal,Passed,Chapmanbury,Joseph Thomas,4,168.32,False,76.0
